Classifier,Class,Precision,Recall,F1-Score,Dice,IoU,Support,Accuracy,Training_Time
SVM (RBF),Owls,0.7575757575757576,0.8333333333333334,0.7936507936507936,0.7936507936507936,0.6578947368421053,60,0.7466666666666667,14.384788990020752
SVM (RBF),Penguin,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.4444444444444444,60,0.7466666666666667,14.384788990020752
SVM (RBF),Plane,0.6379310344827587,0.6166666666666667,0.6271186440677966,0.6271186440677966,0.4567901234567901,60,0.7466666666666667,14.384788990020752
SVM (RBF),Planet,0.8870967741935484,0.9166666666666666,0.9016393442622951,0.9016393442622951,0.8208955223880597,60,0.7466666666666667,14.384788990020752
SVM (RBF),Pumpkin,0.8085106382978723,0.6333333333333333,0.7102803738317757,0.7102803738317757,0.5507246376811594,60,0.7466666666666667,14.384788990020752
SVM (RBF),RacingMotor,0.8490566037735849,0.75,0.7964601769911505,0.7964601769911505,0.6617647058823529,60,0.7466666666666667,14.384788990020752
SVM (RBF),Satelliteimage,0.9180327868852459,0.9333333333333333,0.9256198347107438,0.9256198347107438,0.8615384615384616,60,0.7466666666666667,14.384788990020752
SVM (RBF),Sculpt,0.46153846153846156,0.4,0.42857142857142855,0.42857142857142855,0.2727272727272727,60,0.7466666666666667,14.384788990020752
SVM (RBF),Ship,0.734375,0.7833333333333333,0.7580645161290323,0.7580645161290323,0.6103896103896104,60,0.7466666666666667,14.384788990020752
SVM (RBF),Sky,0.8524590163934426,0.8666666666666667,0.859504132231405,0.859504132231405,0.7536231884057971,60,0.7466666666666667,14.384788990020752
SVM (RBF),Soccer,0.9272727272727272,0.85,0.8869565217391304,0.8869565217391304,0.796875,60,0.7466666666666667,14.384788990020752
SVM (RBF),Stalactite,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.6956521739130435,0.5333333333333333,60,0.7466666666666667,14.384788990020752
SVM (RBF),SubSea,0.7555555555555555,0.5666666666666667,0.6476190476190476,0.6476190476190476,0.4788732394366197,60,0.7466666666666667,14.384788990020752
SVM (RBF),Sunflower,0.7794117647058824,0.8833333333333333,0.828125,0.828125,0.7066666666666667,60,0.7466666666666667,14.384788990020752
SVM (RBF),Sunset,0.7605633802816901,0.9,0.8244274809160306,0.8244274809160306,0.7012987012987013,60,0.7466666666666667,14.384788990020752
SVM (RBF),Surfs,0.6792452830188679,0.6,0.6371681415929203,0.6371681415929203,0.4675324675324675,60,0.7466666666666667,14.384788990020752
SVM (RBF),Tennis,0.8571428571428571,0.8,0.8275862068965517,0.8275862068965517,0.7058823529411765,60,0.7466666666666667,14.384788990020752
SVM (RBF),Tiger,0.6349206349206349,0.6666666666666666,0.6504065040650406,0.6504065040650406,0.4819277108433735,60,0.7466666666666667,14.384788990020752
SVM (RBF),Volleyball,0.9056603773584906,0.8,0.8495575221238938,0.8495575221238938,0.7384615384615385,60,0.7466666666666667,14.384788990020752
SVM (RBF),Waterfall,0.8113207547169812,0.7166666666666667,0.7610619469026548,0.7610619469026548,0.6142857142857143,60,0.7466666666666667,14.384788990020752
SVM (Linear),AncestorDinoArt,0.9523809523809523,1.0,0.975609756097561,0.975609756097561,0.9523809523809523,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Archit,0.35064935064935066,0.45,0.39416058394160586,0.39416058394160586,0.24545454545454545,60,0.7126666666666667,6.2979607582092285
SVM (Linear),BWimage,0.967741935483871,1.0,0.9836065573770492,0.9836065573770492,0.967741935483871,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Baseball,0.7741935483870968,0.8,0.7868852459016393,0.7868852459016393,0.6486486486486487,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Basketball,0.819672131147541,0.8333333333333334,0.8264462809917356,0.8264462809917356,0.704225352112676,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Beach,0.5909090909090909,0.65,0.6190476190476191,0.6190476190476191,0.4482758620689655,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Billiardsball,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.8620689655172413,0.7575757575757576,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Bus,0.828125,0.8833333333333333,0.8548387096774194,0.8548387096774194,0.7464788732394366,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Car,0.8431372549019608,0.7166666666666667,0.7747747747747747,0.7747747747747747,0.6323529411764706,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Cartoon,0.8571428571428571,0.9,0.8780487804878049,0.8780487804878049,0.782608695652174,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Castle,0.44642857142857145,0.4166666666666667,0.43103448275862066,0.43103448275862066,0.27472527472527475,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Citynight,0.6909090909090909,0.6333333333333333,0.6608695652173913,0.6608695652173913,0.4935064935064935,60,0.7126666666666667,6.2979607582092285
SVM (Linear),ClassicalPainting,0.5952380952380952,0.8333333333333334,0.6944444444444444,0.6944444444444444,0.5319148936170213,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Cropcycle,0.95,0.95,0.95,0.95,0.9047619047619048,60,0.7126666666666667,6.2979607582092285
SVM (Linear),DeerAntelope,0.40789473684210525,0.5166666666666667,0.45588235294117646,0.45588235294117646,0.29523809523809524,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Desert,0.5660377358490566,0.5,0.5309734513274337,0.5309734513274337,0.3614457831325301,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Dog,0.5757575757575758,0.6333333333333333,0.6031746031746031,0.6031746031746031,0.4318181818181818,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Doors,0.8484848484848485,0.9333333333333333,0.8888888888888888,0.8888888888888888,0.8,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Eagle,0.6,0.75,0.6666666666666666,0.6666666666666666,0.5,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Elephant,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.5584415584415584,60,0.7126666666666667,6.2979607582092285
SVM (Linear),F1,0.7611940298507462,0.85,0.8031496062992126,0.8031496062992126,0.6710526315789473,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Feasts,0.696969696969697,0.7666666666666667,0.7301587301587301,0.7301587301587301,0.575,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Flower,0.639344262295082,0.65,0.6446280991735537,0.6446280991735537,0.47560975609756095,60,0.7126666666666667,6.2979607582092285
SVM (Linear),Grass,0.7068965517241379,0.6833333333333333,0.6949152542372882,0.6949152542372882,0.5324675324675324,60,0.7126666666666667,6.2979607582092285
